original_language,original_title,release_date,,runtime,runtime,tagline,vote_average,price;
en,Jurassic Park,11/06/1993,,127,127,An adventure 65 million years in the making.,7.6,7.99;
en,Manhattan Murder Mystery,18/08/1993,,104,104,Keaton & Allen reunited for fun flick!,7.1,6.99;
en,Menace II Society,26/05/1993,,97,97,This is the truth. This is what's real.,7.2,6.99;
en,Much Ado About Nothing,07/05/1993,,111,111,Romance. Mischief. Seduction. Revenge. Remarkable.,7.2,6.99;
en,Philadelphia,22/12/1993,,125,125,No one would take on his case... until one man was willing to take on the system.,7.6,7.99;
en,The Remains of the Day,05/11/1993,,134,134,Diamond in the Rough,7.5,7.99;
"en,Rudy,17/09/1993,,114,114,""It's not the size of the dog in the fight, It's the size of the fight in the dog."",7.2,6.99";
"en,Schindler's List,29/11/1993,,195,195,""Whoever saves one life, saves the world entire."",8.3,7.99";
en,Searching for Bobby Fischer,13/08/1993,,110,110,Every journey begins with a single move.,7.3,6.99;
"en,The Secret Garden,13/08/1993,,102,102,""The timeless tale of a special place where magic, hope and love grow."",7.1,6.99";
en,Blade Runner,25/06/1982,,117,117,Man has made his match... now it's his problem.,7.9,7.99;
en,Thirty Two Short Films About Glenn Gould,26/11/1993,,93,93,The sound of genius.,7.4,6.99;
en,The Nightmare Before Christmas,09/10/1993,,76,76,A ghoulish tale with wicked humor & stunning animation.,7.6,7.99;
en,Tombstone,25/12/1993,,130,130,Justice is coming.,7.4,6.99;
"en,True Romance,09/09/1993,,120,120,""Stealing, Cheating, Killing. Who said romance was dead?"",7.5,7.99";
en,The War Room,05/12/1993,,96,96,They Changed The Way Campaigns Are Won,7.3,6.99;
"en,Io speriamo che me la cavo,01/10/1992,,100,100,""Ciao, Professore!"",7.2,6.99";
en,Home Alone,09/11/1990,,103,103,A Family Comedy Without the Family.,7.1,6.99;
en,Aladdin,25/11/1992,,90,90,Wish granted!,7.4,6.99;
en,Terminator 2: Judgment Day,01/07/1991,,137,137,It's nothing personal.,7.7,7.99;
en,Dances with Wolves,09/11/1990,,181,181,Inside everyone is a frontier waiting to be discovered.,7.6,7.99;
en,The Silence of the Lambs,01/02/1991,,119,119,To enter the mind of a killer she must challenge the mind of a madman.,8.1,7.99;
en,Beauty and the Beast,13/11/1991,,84,84,The most beautiful love story ever told.,7.5,7.99;
"en,The Wild Bunch,17/06/1969,,145,145,""If you only want to spend two hours in a movie theatre and go home and forget it, stay away from THE WILD BUNCH."",7.7,7.99";
en,Fargo,05/04/1996,,98,98,A lot can happen in the middle of nowhere.,7.7,7.99;
en,Jane Eyre,09/02/1996,,112,112,The passionate tale of forbidden secrets!,7.1,6.99;
en,The Aristocats,23/12/1970,,78,78,A tune-filled animated extravaganza.,7.1,6.99;
"en,Primal Fear,03/04/1996,,129,129,""Sooner or later, a man who wears two faces forgets which one is real."",7.4,6.99";
en,Hostile Intentions,01/01/1995,,90,90,A night of adventure becomes one woman's desperate fight for survival.,8,7.99;
en,The Run of the Country,22/09/1995,,0,0,An unforgettable romance,8,7.99;
en,Dead Man,23/12/1995,,121,121,No one can survive becoming a legend.,7.2,6.99;
"en,""The Haunted World of Edward D. Wood, Jr."",01/05/1996,,112,112,Can your MIND stand the SHOCKING TRUTH?,10,9.99";
en,A Close Shave,24/12/1995,,30,30,From the Oscar-winning creator of A Grand Day Out and The Wrong Trousers.,7.5,7.99;
en,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,29/01/1964,,95,95,The hot-line suspense comedy,8,7.99;
en,Trainspotting,23/02/1996,,93,93,Choose life.,7.8,7.99;
en,Stonewall,01/10/1995,,99,99,The fight for the right to love,7.2,6.99;
en,The Godfather,14/03/1972,,175,175,An offer you can't refuse.,8.5,7.99;
en,Mother Night,01/11/1996,,114,114,The truth is more shocking than the uniform he wears... HE WAS AN AMERICAN SPY.,7.1,6.99;
en,The Philadelphia Story,05/12/1940,,112,112,Broadway's howling year-run comedy hit of the snooty society beauty who slipped and fell - IN LOVE!,7.7,7.99;
en,Singin' in the Rain,10/04/1952,,103,103,What a Glorious Feeling!,7.9,7.99;
"en,Breakfast at Tiffany's,05/10/1961,,110,110,""Audrey Hepburn plays that daring, darling Holly Golightly to a new high in entertainment delight!"",7.6,7.99";
en,Vertigo,09/05/1958,,128,128,Alfred Hitchcock engulfs you in a whirlpool of terror and tension!,8,7.99;
en,Rear Window,01/08/1954,,112,112,It only takes one witness to spoil the perfect crime.,8.2,7.99;
en,It Happened One Night,22/02/1934,,105,105,TOGETHER... for the first time,7.7,7.99;
en,Gaslight,04/05/1944,,114,114,Strange drama of a captive sweetheart!,7.2,6.99;
en,The Gay Divorcee,12/10/1934,,107,107,The King and Queen of 'Carioca',7.2,6.99;
en,North by Northwest,07/07/1959,,136,136,It's a deadly game of 'tag' and Cary Grant is 'it'...,7.8,7.99;
"en,The Apartment,15/06/1960,,125,125,""Movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!"",8.1,7.99";
en,Some Like It Hot,18/03/1959,,122,122,The movie too HOT for words!,8,7.99;
en,Charade,05/12/1963,,113,113,Is anyone really who they seem to be?,7.7,7.99;
en,Casablanca,26/11/1942,,102,102,They had a date with fate in Casablanca!,7.9,7.99;
en,The Maltese Falcon,18/11/1941,,100,100,A story as EXPLOSIVE as his BLAZING automatics!,7.8,7.99;
en,My Fair Lady,21/10/1964,,170,170,The loverliest motion picture of them all!,7.4,6.99;
en,Sabrina,28/09/1954,,113,113,...the chauffeur's daughter who learned her stuff in Paris,7.4,6.99;
en,Roman Holiday,02/09/1953,,119,119,Romance in romantic Rome!,7.8,7.99;
"en,The Wizard of Oz,15/08/1939,,102,102,""We're off to see the Wizard, the wonderful Wizard of Oz!"",7.4,6.99";
en,Gone with the Wind,15/12/1939,,238,238,The greatest romance of all time!,7.7,7.99;
en,Sunset Boulevard,10/08/1950,,110,110,A Hollywood Story,8.2,7.99;
en,Citizen Kane,30/04/1941,,119,119,It's Terrific!,8,7.99;
en,2001: A Space Odyssey,10/04/1968,,149,149,An epic drama of adventure and exploration,7.9,7.99;
en,All About Eve,09/11/1950,,138,138,It's all about women... and their men!,8,7.99;
en,Rebecca,12/04/1940,,130,130,The shadow of this woman darkened their love.,7.7,7.99;
en,Notorious,15/08/1946,,102,102,Notorious woman of affairs... Adventurous man of the world,7.8,7.99;
en,Spellbound,28/12/1945,,111,111,The maddest love that ever possessed a woman.,7.3,6.99;
en,An Affair to Remember,11/07/1957,,111,111,In Italy... on the Mediterranean... across an ocean... and all over New York!,7.1,6.99;
en,To Catch a Thief,03/08/1955,,106,106,WANTED by the police in all the luxury-spots of Europe!... A catch for any woman!,7.1,6.99;
en,The Band Wagon,07/08/1953,,112,112,Get Aboard!,7.1,6.99;
en,Ninotchka,06/10/1939,,110,110,Greta Garbo laughs!,7.3,6.99;
en,Love in the Afternoon,30/06/1957,,130,130,Love is a game any number can play... especially in the afternoon...,7.3,6.99;
en,The Adventures of Robin Hood,13/05/1938,,102,102,Excitement...Danger...Suspense...as this classic adventure story sweeps across the screen!,7.6,7.99;
en,Laura,11/10/1944,,88,88,The story of a love that became the most fearful thing that ever happened to a woman!,7.6,7.99;
en,The Ghost and Mrs. Muir,26/06/1947,,104,104,THE SPIRIT... so willing! THE FLESH... so weak! THE ROMANCE... so wonderful!,7.3,6.99;
en,Top Hat,06/09/1935,,101,101,They're Dancing Cheek-To-Cheek Again!,7.4,6.99;
en,Giant,10/10/1956,,201,201,The legendary epic that's as big as Texas.,7.5,7.99;
en,East of Eden,09/03/1955,,115,115,Of what a girl did . . . what a boy did ... of ecstasy and revenge!,7.5,7.99;
en,The Thin Man,25/05/1934,,93,93,A laugh tops every thrilling moment!,7.4,6.99;
en,His Girl Friday,18/01/1940,,92,92,She learned about men from him!,7.5,7.99;
en,It's a Wonderful Life,20/12/1946,,130,130,It's a wonderful laugh! It's a wonderful love!,8,7.99;
"en,Mr. Smith Goes to Washington,19/10/1939,,129,129,""Romance, drama, laughter and heartbreak... created out of the very heart and soil of America!"",7.9,7.99";
"en,Bringing Up Baby,18/02/1938,,102,102,""And so begins the hilarious adventure of Professor David Huxley and Miss Susan Vance, a flutter-brained vixen with love in her heart!"",7.6,7.99";
en,The 39 Steps,01/06/1935,,86,86,Handcuffed to the girl who double-crossed him,7.4,6.99;
"en,Night of the Living Dead,01/10/1968,,96,96,""If it doesn't scare you, you're already dead!"",7.5,7.99";
en,The African Queen,03/12/1951,,105,105,The greatest adventure a man ever lived...with a woman!,7.4,6.99;
en,Cat on a Hot Tin Roof,17/02/1958,,108,108,Just one pillow on her bed ... and just one desire in her heart!,7.6,7.99;
"en,Meet John Doe,12/03/1941,,122,122,""ALL AMERICA WANTS TO MEET THE """"MR. DEEDS"""" OF 1941!"",7.3,6.99";
en,Mary Poppins,27/08/1964,,139,139,It's supercalifragilisticexpialidocious!,7.4,6.99;
en,The Sound of Music,02/03/1965,,174,174,The happiest sound in all the world!,7.4,6.99;
en,Die Hard,15/07/1988,,131,131,40 Stories. Twelve Terrorists. One Cop.,7.5,7.99;
en,Sleepers,18/10/1996,,147,147,When friendship runs deeper than blood.,7.3,6.99;
"en,Shall We Dance,07/05/1937,,109,109,""Foot-free Fred and joyous Ginger...in their gayest, gladdest show!"",7.9,7.99";
"en,""Murder, My Sweet"",09/12/1944,,95,95,An Original Philip Marlowe Mystery,7.2,6.99";
en,For the Moment,01/10/1993,,115,115,A Moment Can Last A Lifetime.,7.4,6.99;
en,Willy Wonka & the Chocolate Factory,29/06/1971,,100,100,It's Scrumdiddlyumptious!,7.4,6.99;
en,The Innocents,25/12/1961,,100,100,Apparitions? Evils? Corruptions?,7.5,7.99;
"en,A Fish Called Wanda,15/07/1988,,108,108,""A tale of murder, lust, greed, revenge, and seafood."",7.1,6.99";
en,Life of Brian,17/08/1979,,94,94,He wasn't the messiah. He was a very naughty boy.,7.7,7.99;
"en,The Great Race,01/07/1965,,160,160,""The movie with 20,000-mile or one-million-laughs guarantee!"",7.2,6.99";
en,Bonnie and Clyde,18/07/1967,,111,111,They’re young… they’re in love… and they kill people.,7.6,7.99;
en,Dial M for Murder,29/05/1954,,104,104,If a woman answers...hang on for dear life!,7.9,7.99;
en,Dirty Dancing,21/08/1987,,100,100,Have the time of your life.,7.1,6.99;
en,Reservoir Dogs,02/09/1992,,99,99,Every dog has his day.,8.1,7.99;
en,Platoon,18/12/1986,,120,120,The first casualty of war is innocence.,7.5,7.99;
en,Glengarry Glen Ross,15/09/1992,,100,100,Lie. Cheat. Steal. All in a day’s work.,7.5,7.99;
en,E.T. the Extra-Terrestrial,03/04/1982,,115,115,He is afraid. He is alone. He is three million light years from home.,7.3,6.99;
en,Rebel Without a Cause,27/10/1955,,111,111,The bad boy from a good family.,7.6,7.99;
"en,A Streetcar Named Desire,18/09/1951,,125,125,""...Blanche, who wanted so much to stay a lady..."",7.6,7.99";
"en,The Funeral,26/01/1996,,99,99,""One family, one murder, too many lies."",7.3,6.99";
en,On Golden Pond,04/12/1981,,109,109,when life is at its finest...when love is at its fullest...,7.3,6.99;
"en,The Abyss,09/08/1989,,139,139,""There's everything you've ever known about adventure, and then there's The Abyss."",7.1,6.99";
en,Monty Python and the Holy Grail,13/03/1975,,91,91,And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.,7.8,7.99;
en,When We Were Kings,25/10/1996,,89,89,The untold story of the Rumble in the Jungle.,7.3,6.99;
en,The Wrong Trousers,17/12/1993,,30,30,Winner of the 1993 Academy Award for Best Animated Short.,7.6,7.99;
en,Raw Deal,26/05/1948,,79,79,Bullets!  Women! -- Can't Hold a Man Like That!,7.2,6.99;
"en,""The Cook, the Thief, His Wife & Her Lover"",10/09/1989,,125,125,Lust...Murder...Dessert. Bon Appetit!,7.3,6.99";
en,Paths of Glory,18/09/1957,,88,88,It explodes in the no-man's land no picture ever dared cross before!,8.2,7.99;
"en,My Left Foot: The Story of Christy Brown,21/07/1989,,103,103,""A film about life, laughter, and the occasional miracle."",7.5,7.99";
"en,The Thin Blue Line,28/08/1988,,103,103,""A softcore movie, Dr. Death, a chocolate milkshake, a nosey blonde and """"The Carol Burnett Show."""" Solving this mystery is going to be murder."",7.9,7.99";
en,Paris is Burning,13/03/1990,,71,71,Having a ball... Wish you were here.,8.2,7.99;
"en,One Flew Over the Cuckoo's Nest,18/11/1975,,133,133,""If he's crazy, what does that make you?"",8.3,7.99";
en,The Empire Strikes Back,17/05/1980,,124,124,The Adventure Continues...,8.2,7.99;
en,The Princess Bride,18/09/1987,,98,98,It's as real as the feelings you feel.,7.6,7.99;
en,Raiders of the Lost Ark,12/06/1981,,115,115,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,7.7,7.99;
en,Brazil,20/02/1985,,132,132,It's only a state of mind.,7.6,7.99;
en,Aliens,18/07/1986,,137,137,This Time It's War,7.7,7.99;
"en,Withnail & I,01/01/1987,,107,107,""If you don't remember the sixties, don't worry - neither did they."",7.4,6.99";
en,12 Angry Men,25/03/1957,,96,96,Life is in their hands. Death is on their minds.,8.2,7.99;
"en,A Clockwork Orange,18/12/1971,,136,136,""Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven."",8,7.99";
en,Apocalypse Now,15/08/1979,,153,153,This is the end...,8,7.99;
en,Return of the Jedi,23/05/1983,,135,135,The Empire Falls...,7.9,7.99;
en,The Third Man,31/08/1949,,104,104,Hunted by men ... Sought by WOMEN!,7.9,7.99;
en,GoodFellas,12/09/1990,,145,145,Three Decades of Life in the Mafia.,8.2,7.99;
en,Alien,25/05/1979,,117,117,In space no one can hear you scream.,7.9,7.99;
en,Army of Darkness,09/10/1992,,81,81,Trapped in time. Surrounded by evil. Low on gas.,7.3,6.99;
en,Psycho,16/06/1960,,109,109,The master of suspense moves his cameras into the icy blackness of the unexplored!,8.3,7.99;
en,The Blues Brothers,17/06/1980,,133,133,They'll never get caught. They're on a mission from God.,7.5,7.99;
"en,The Godfather: Part II,20/12/1974,,200,200,""I don't feel I have to wipe everybody out, Tom. Just my enemies."",8.3,7.99";
"en,Full Metal Jacket,26/06/1987,,116,116,""Vietnam can kill me, but it can’t make me care."",7.9,7.99";
en,Henry V,05/10/1989,,137,137,The great adventure of a king who defied the odds to prove himself a man.,7.4,6.99;
en,Amadeus,26/10/1984,,160,160,...Everything you've heard is true,7.8,7.99;
en,The Quiet Man,21/07/1952,,129,129,Action...Excitement...Romance...Fill the Screen !,7.3,6.99;
"en,Once Upon a Time in America,16/02/1984,,229,229,""Crime, passion and lust for power - Sergio Leone's explosive saga of gangland America."",8.3,7.99";
en,Annie Hall,19/04/1977,,93,93,A nervous romance.,7.8,7.99;
en,The Right Stuff,20/10/1983,,193,193,How the future began.,7.4,6.99;
en,The Sting,25/12/1973,,129,129,...all it takes is a little confidence.,7.9,7.99;
en,Harold and Maude,20/12/1971,,91,91,They were meant to be. But exactly what they were meant to be is not quite clear.,7.7,7.99;
en,The Terminator,26/10/1984,,108,108,Your future is in his hands.,7.4,6.99;
en,Braindead,13/08/1992,,104,104,Some things won't stay down... even after they die.,7.4,6.99;
en,Glory,15/12/1989,,122,122,Their innocence. Their heritage. Their lives.,7.4,6.99;
en,Manhattan,25/04/1979,,96,96,Woody Allen's New Comedy Hit,7.8,7.99;
"en,Miller's Crossing,21/09/1990,,115,115,""Up is down, black is white, and nothing is what it seems."",7.5,7.99";
en,Dead Poets Society,02/06/1989,,129,129,He was their inspiration. He made their lives extraordinary.,8.1,7.99;
en,The Graduate,21/12/1967,,106,106,This is Benjamin. He's a little worried about his future.,7.6,7.99;
en,Touch of Evil,23/04/1958,,95,95,THE STRANGEST VENGEANCE EVER PLANNED!,7.6,7.99;
en,The Bridge on the River Kwai,02/10/1957,,161,161,It spans a whole new world of entertainment!,7.7,7.99;
en,Chinatown,20/06/1974,,130,130,You get tough. You get tender. You get close to each other. Maybe you even get close to the truth.,7.9,7.99;
en,The Day the Earth Stood Still,17/09/1951,,92,92,From out of space... A warning and an ultimatum,7.3,6.99;
"en,The Treasure of the Sierra Madre,24/01/1948,,126,126,""The nearer they get to their treasure, the farther they get from the law."",7.9,7.99";
en,Duck Soup,17/11/1933,,68,68,War Is Swell ...when the Marx Brothers are in it. They'll be out of the trenches by Christmas...if the food doesn't improve,7.6,7.99;
en,The Shining,22/05/1980,,144,144,A masterpiece of modern horror.,8.1,7.99;
"en,Stand by Me,22/08/1986,,89,89,""For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of."",7.8,7.99";
en,Evil Dead II,13/03/1987,,84,84,The Sequel To The Ultimate Experience In Grueling Terror,7.5,7.99;
en,The Great Escape,20/06/1963,,172,172,Put a fence in front of these men... and they'll climb it!,7.8,7.99;
en,The Deer Hunter,08/12/1978,,183,183,One of the most important and powerful films of all time!,7.8,7.99;
"en,Groundhog Day,11/02/1993,,101,101,""He's having the worst day of his life... over, and over..."",7.4,6.99";
en,Unforgiven,07/08/1992,,131,131,Some legends will never be forgotten. Some wrongs can never be forgiven.,7.7,7.99;
"en,The Manchurian Candidate,24/10/1962,,126,126,""When you've seen it all, you'll swear there's never been anything like it!"",7.7,7.99";
en,Arsenic and Old Lace,23/09/1944,,118,118,She Passed Out On Cary! No Wonder . . . She's just discovered his favorite aunts have poisoned their 13th gentleman friend!,7.4,6.99;
en,Back to the Future,03/07/1985,,116,116,He's the only kid ever to get into trouble before he was born.,8,7.99;
en,Fried Green Tomatoes,27/12/1991,,130,130,The secret of life? The secret's in the sauce.,7.6,7.99;
en,Patton,25/01/1970,,172,172,The Rebel Warrior,7.3,6.99;
en,Down by Law,01/05/1986,,107,107,It's not where you start - It's where you start again.,7.2,6.99;
en,Cool Hand Luke,22/06/1967,,126,126,What we've got here is failure to communicate.,7.7,7.99;
en,Young Frankenstein,15/12/1974,,106,106,The scariest comedy of all time!,7.7,7.99;
en,Night on Earth,03/10/1991,,129,129,Five Taxis. Five Cities. One Night.,7.5,7.99;
en,The Great Dictator,15/10/1940,,125,125,Once again - the whole world laughs!,8.1,7.99;
en,Fantasia,13/11/1940,,124,124,The most sensational sound you'll ever see!,7.2,6.99;
en,High Noon,27/03/1952,,85,85,The story of a man who was too proud to run.,7.6,7.99;
en,The Big Sleep,23/08/1946,,116,116,The picture they were born for!,7.6,7.99;
"en,Heathers,01/10/1988,,102,102,""Best friends, social trends, and occasional murder."",7.3,6.99";
en,Somewhere in Time,02/10/1980,,103,103,Beyond fantasy. Beyond obsession. Beyond time itself... he will find her.,7.1,6.99;
en,Ben-Hur,26/12/1959,,212,212,The entertainment experience of a lifetime.,7.5,7.99;
en,This Is Spinal Tap,04/05/1984,,82,82,Does for rock & roll what 'The Sound of Music' did for hills.,7.6,7.99;
"en,Koyaanisqatsi,06/06/1982,,87,87,""Until now, you've never really seen the world you live in."",7.7,7.99";
"en,Indiana Jones and the Last Crusade,24/05/1989,,127,127,""The man with the hat is back. And this time, he's bringing his Dad."",7.6,7.99";
en,Being There,19/12/1979,,130,130,Getting there is half the fun; being there is all of it!,7.7,7.99
en,Gandhi,30/11/1982,,191,191,His triumph changed the world forever.,7.4,6.99;
en,Pink Floyd: The Wall,14/07/1982,,95,95,The Memories. The Madness. The Music... The Movie.,7.7,7.99;
"en,The Killing Fields,02/11/1984,,141,141,""Here, only the silent survive."",7.5,7.99";
"en,Forbidden Planet,15/03/1956,,98,98,""Earthmen on a fabulous, peril-journey into outer space!"",7.2,6.99";
"en,Field of Dreams,21/04/1989,,107,107,""If you believe the impossible, the incredible can come true."",7.1,6.99";
"en,The Man Who Would Be King,03/12/1975,,129,129,""Rudyard Kipling's epic of splendor, spectacle and high adventure at the top of a legendary world."",7.6,7.99";
"en,Butch Cassidy and the Sundance Kid,23/09/1969,,110,110,""Not that it matters, but most of it is true."",7.4,6.99";
"en,""Paris, Texas"",19/05/1984,,147,147,A place for dreams. A place for heartbreak. A place to pick up the pieces.,7.7,7.99";
en,When Harry Met Sally...,21/07/1989,,96,96,Can two friends sleep together and still love each other in the morning?,7.3,6.99;
en,An American Werewolf in London,21/08/1981,,97,97,Beware the Moon.,7.2,6.99;
"en,The Birds,28/03/1963,,119,119,""...and remember, the next scream you hear may be your own!"",7.3,6.99";
en,Dracula,13/11/1992,,128,128,Love never dies.,7.1,6.99;
en,Bride of Frankenstein,21/04/1935,,75,75,The monster demands a mate.,7.4,6.99;
en,Cape Fear,12/04/1962,,105,105,Now he had only one weapon left - murder! ...To prevent an even more shocking crime!,7.2,6.99;
"en,A Nightmare on Elm Street,14/11/1984,,91,91,""If Nancy Doesn't Wake Up Screaming, She Won't Wake Up At All!"",7.2,6.99";
en,The Omen,06/06/1976,,111,111,It is the greatest mystery of all because no human being will ever solve it.,7.2,6.99;
en,Shine,21/01/1996,,105,105,A true story of the mystery of music and the miracle of love,7.3,6.99;
en,Sling Blade,30/08/1996,,135,135,A simple man. A difficult choice.,7.4,6.99;
en,Paradise Lost: The Child Murders at Robin Hood Hills,03/12/1996,,150,150,Witchcraft or witch hunt?,7.9,7.99;
en,Star Trek II: The Wrath of Khan,03/06/1982,,113,113,At the end of the universe lies the beginning of vengeance.,7.3,6.99;
en,Grease,07/07/1978,,110,110,Grease is the word,7.2,6.99;
en,Terror in a Texas Town,01/09/1958,,80,80,When the Texas Plains Ran With Blood and Black Gold!,7.1,6.99;
en,Jaws,18/06/1975,,124,124,Don't go in the water.,7.5,7.99;
en,Raising Arizona,01/03/1987,,94,94,Their lawless years are behind them. Their child-rearing years lay ahead...,7.2,6.99;
en,The Last of the Mohicans,25/09/1992,,112,112,The first American hero.,7.1,6.99;
en,Walkabout,01/07/1971,,95,95,A boy and girl face the challenge of the world's last frontier.,7.4,6.99;
en,Angel Baby,09/09/1995,,105,105,An extraordinary story of love's transcendent power.,7.7,7.99;
en,The Cement Garden,20/02/1993,,105,105,Love knows no limits.,7.2,6.99;
en,Waiting for Guffman,31/01/1996,,84,84,There's a good reason some talent remains undiscovered.,7.4,6.99;
en,That Old Feeling,04/04/1997,,105,105,It was the perfect wedding except for two things... the bride's parents.,7.1,6.99;
en,Donnie Brasco,27/02/1997,,127,127,Based on a true story.,7.4,6.99;
en,Love Jones,14/03/1997,,104,104,Get Together. Fall Apart. Start Over.,8.1,7.99;
